Exit Survey,Purchases,Spend,Lift,Conversion Rate (Purchases/Lift)%,Cost Per Acquisition (Spend/Purchases),Cost Per Visitor (Spend/Lift),Percent of Purchases,Percent of Spend,Percent Pur > Percent Spend
(Blank),3.0,0.0,0.0,inf,0.0,,1.2711864406779663,0.0,True
Aapka Colors,6.0,0.0,0.0,inf,0.0,,2.5423728813559325,0.0,True
Baby First,1.0,0.0,0.0,inf,0.0,,0.423728813559322,0.0,True
Bloomberg,2.0,4966.72,199.0,1.0050251256281406,2483.36,24.958391959798995,0.847457627118644,2.2429510825750585,False
Cbs Sports,1.0,0.0,0.0,inf,0.0,,0.423728813559322,0.0,True
Cnbc,15.0,6481.42,406.0,3.6945812807881775,432.0946666666667,15.964088669950739,6.3559322033898304,2.926983603992904,True
Cnn,23.0,18114.35,1081.0,2.127659574468085,787.5804347826087,16.757030527289544,9.745762711864407,8.180368722747307,True
Comedy Central,2.0,7501.25,108.0,1.8518518518518516,3750.625,69.45601851851852,0.847457627118644,3.387534793216883,False
Cozi,0.0,0.0,0.0,,,,0.0,0.0,False
Dateline,10.0,15288.11,862.0,1.160092807424594,1528.8110000000001,17.73562645011601,4.23728813559322,6.9040499313483705,False
Dish Network,5.0,3033.33,1092.0,0.4578754578754579,606.6659999999999,2.777774725274725,2.11864406779661,1.3698398152719302,True
Diy,2.0,0.0,0.0,inf,0.0,,0.847457627118644,0.0,True
Espn,4.0,0.0,0.0,inf,0.0,,1.694915254237288,0.0,True
Fox News,14.0,0.0,0.0,inf,0.0,,5.932203389830509,0.0,True
Fox Sports,2.0,4258.5,183.0,1.092896174863388,2129.25,23.270491803278688,0.847457627118644,1.9231217352993295,False
Fyi,2.0,0.0,0.0,inf,0.0,,0.847457627118644,0.0,True
Hgtv,6.0,0.0,0.0,inf,0.0,,2.5423728813559325,0.0,True
Lifetime Movie Network,0.0,0.0,0.0,,,,0.0,0.0,False
Msnbc,16.0,11330.04,1123.0,1.4247551202137132,708.1275,10.089082813891363,6.779661016949152,5.116601194272823,True
Nfl Network,3.0,5412.8,200.0,1.5,1804.2666666666667,27.064,1.2711864406779663,2.444399043989248,False
One America News Network,16.0,24935.0,2372.0,0.6745362563237773,1558.4375,10.512225969645868,6.779661016949152,11.260547251306512,False
Oprah Winfrey Network,1.0,0.0,0.0,inf,0.0,,0.423728813559322,0.0,True
Other,13.0,0.0,0.0,inf,0.0,,5.508474576271186,0.0,True
Science,4.0,7993.18,132.0,3.0303030303030303,1998.295,60.55439393939394,1.694915254237288,3.6096884330538677,False
Sony Entertainment Tv,4.0,0.0,0.0,inf,0.0,,1.694915254237288,0.0,True
Spectrum Sports,3.0,5580.26,220.0,1.3636363636363635,1860.0866666666668,25.364818181818183,1.2711864406779663,2.5200233168067245,False
Spike,0.0,0.0,0.0,,,,0.0,0.0,False
Star Plus,4.0,11780.56,1783.0,0.2243409983174425,2945.14,6.607156477846326,1.694915254237288,5.320054242103527,False
Sundance Channel,0.0,0.0,0.0,,,,0.0,0.0,False
Television Food Network,4.0,0.0,0.0,inf,0.0,,1.694915254237288,0.0,True
The Cooking Channel,0.0,0.0,0.0,,,,0.0,0.0,False
The History Channel,5.0,7278.3,330.0,1.5151515151515151,1455.66,22.055454545454545,2.11864406779661,3.286851456153367,False
The Weather Channel,0.0,7718.71,211.0,0.0,inf,36.581563981042656,0.0,3.485738868022141,False
Turner Network Tv,4.0,5125.5,179.0,2.2346368715083798,1281.375,28.634078212290504,1.694915254237288,2.3146555017674566,False
Willow Tv,56.0,47734.57,8214.0,0.6817628439250061,852.4030357142857,5.811367177988799,23.728813559322035,21.55674277143767,True
Zeetv,5.0,25604.25,1741.0,0.2871912693854107,5120.85,14.706634118322803,2.11864406779661,11.562777900912964,False
Velocity,0.0,0.0,0.0,,,,0.0,0.0,False
Investigation Discovery,0.0,0.0,0.0,,,,0.0,0.0,False
Viceland,0.0,0.0,0.0,,,,0.0,0.0,False
Destination America,0.0,0.0,0.0,,,,0.0,0.0,False
Golf,0.0,0.0,0.0,,,,0.0,0.0,False
Tennis,0.0,0.0,0.0,,,,0.0,0.0,False
Cnbc World,0.0,1299.99,51.0,0.0,inf,25.49,0.0,0.5870703357219151,False
