Exit Survey Source,date,Purchases,Spend,Lift,Conversion Rate (Purchases/Lift)%,Cost Per Acquisition (Spend/Purchases),Cost Per Visitor (Spend/Lift),Percent of Purchases,Percent of Spend,Percent Pur > Percent Spend
(Blank),2017-09-30,0.0,0.0,0.0,,,,0.0,0.0,False
(Blank),2017-10-31,3.0,0.0,0.0,inf,0.0,,1.2711864406779663,0.0,True
Aapka Colors,2017-09-30,1.0,0.0,0.0,inf,0.0,,0.423728813559322,0.0,True
Aapka Colors,2017-10-31,5.0,0.0,0.0,inf,0.0,,2.11864406779661,0.0,True
Baby First,2017-09-30,1.0,0.0,0.0,inf,0.0,,0.423728813559322,0.0,True
Baby First,2017-10-31,0.0,0.0,0.0,,,,0.0,0.0,False
Bloomberg,2017-09-30,1.0,4966.72,199.0,0.5025125628140703,4966.72,24.958391959798995,0.423728813559322,2.33818072223022,False
Bloomberg,2017-10-31,1.0,0.0,0.0,inf,0.0,,0.423728813559322,0.0,True
Cbs Sports,2017-09-30,1.0,0.0,0.0,inf,0.0,,0.423728813559322,0.0,True
Cbs Sports,2017-10-31,0.0,0.0,0.0,,,,0.0,0.0,False
Cnbc,2017-09-30,5.0,6481.42,406.0,1.2315270935960592,1296.284,15.964088669950739,2.11864406779661,3.051255415380249,False
Cnbc,2017-10-31,10.0,0.0,0.0,inf,0.0,,4.23728813559322,0.0,True
Cnn,2017-09-30,13.0,9159.6,507.0,2.564102564102564,704.5846153846154,18.066272189349114,5.508474576271186,4.312061107398831,True
Cnn,2017-10-31,10.0,8954.75,574.0,1.7421602787456445,895.475,15.600609756097562,4.23728813559322,4.215623957539596,True
Comedy Central,2017-09-30,0.0,0.0,0.0,,,,0.0,0.0,False
Comedy Central,2017-10-31,2.0,7501.25,108.0,1.8518518518518516,3750.625,69.45601851851852,0.847457627118644,3.531360363102699,False
Cozi,,0.0,0.0,0.0,,,,0.0,0.0,False
Dateline,2017-09-30,0.0,4211.62,252.0,0.0,inf,16.712777777777777,0.0,1.9827026072255407,False
Dateline,2017-10-31,10.0,11076.49,610.0,1.639344262295082,1107.649,18.158180327868852,4.23728813559322,5.214474620670343,False
Dish Network,2017-09-30,4.0,2513.09,976.0,0.4098360655737705,628.2725,2.5748872950819672,1.694915254237288,1.1830863409311463,True
Dish Network,2017-10-31,1.0,520.24,116.0,0.8620689655172413,520.24,4.4848275862068965,0.423728813559322,0.24491316984509892,True
Diy,2017-09-30,2.0,0.0,0.0,inf,0.0,,0.847457627118644,0.0,True
Diy,2017-10-31,0.0,0.0,0.0,,,,0.0,0.0,False
Espn,2017-09-30,0.0,0.0,0.0,,,,0.0,0.0,False
Espn,2017-10-31,4.0,0.0,0.0,inf,0.0,,1.694915254237288,0.0,True
Fox News,2017-09-30,5.0,0.0,0.0,inf,0.0,,2.11864406779661,0.0,True
Fox News,2017-10-31,9.0,0.0,0.0,inf,0.0,,3.8135593220338984,0.0,True
Fox Sports,2017-09-30,1.0,4258.5,183.0,0.546448087431694,4258.5,23.270491803278688,0.423728813559322,2.00477228545547,False
Fox Sports,2017-10-31,1.0,0.0,0.0,inf,0.0,,0.423728813559322,0.0,True
Fyi,2017-09-30,0.0,0.0,0.0,,,,0.0,0.0,False
Fyi,2017-10-31,2.0,0.0,0.0,inf,0.0,,0.847457627118644,0.0,True
Hgtv,2017-09-30,6.0,0.0,0.0,inf,0.0,,2.5423728813559325,0.0,True
Hgtv,2017-10-31,0.0,0.0,0.0,,,,0.0,0.0,False
Lifetime Movie Network,,0.0,0.0,0.0,,,,0.0,0.0,False
Msnbc,2017-09-30,10.0,8091.15,701.0,1.4265335235378032,809.115,11.542296718972896,4.23728813559322,3.809067342365393,True
Msnbc,2017-10-31,6.0,3238.89,422.0,1.4218009478672986,539.8149999999999,7.675094786729858,2.5423728813559325,1.5247709070421196,True
Nfl Network,2017-09-30,2.0,5412.8,200.0,1.0,2706.4,27.064,0.847457627118644,2.5481816195170524,False
Nfl Network,2017-10-31,1.0,0.0,0.0,inf,0.0,,0.423728813559322,0.0,True
One America News Network,2017-09-30,2.0,4966.8,648.0,0.30864197530864196,2483.4,7.664814814814815,0.847457627118644,2.338218383797165,False
One America News Network,2017-10-31,14.0,19968.2,1724.0,0.8120649651972157,1426.3,11.58248259860789,5.932203389830509,9.400421263457066,False
Oprah Winfrey Network,2017-09-30,0.0,0.0,0.0,,,,0.0,0.0,False
Oprah Winfrey Network,2017-10-31,1.0,0.0,0.0,inf,0.0,,0.423728813559322,0.0,True
Other,2017-09-30,5.0,0.0,0.0,inf,0.0,,2.11864406779661,0.0,True
Other,2017-10-31,8.0,0.0,0.0,inf,0.0,,3.389830508474576,0.0,True
